Evaluate score: [0.4368876012472006, 0.8413461446762085]
y_sample, y_class, y_eventType, groundTruth_sample, groundTruth_class, groundTruth_eventType
6406, 16, OFF, 6369, 16, OFF, 16
5950, 17, ON, 5552, 16, ON, 123
6769, 16, OFF, 6645, 16, OFF, 16
5443, 16, ON, 5591, 16, ON, 17
6589, 16, OFF, 6708, 16, OFF, 33
5280, 17, ON, 5367, 17, ON, 90
6585, 0, OFF, 6377, 17, OFF, 100
5527, 16, ON, 5425, 17, ON, 110
6434, 0, OFF, 6415, 17, OFF, 100
5333, 17, ON, 5581, 17, ON, 6
6593, 16, OFF, 6626, 17, OFF, 102
5519, 16, ON, 5424, 17, ON, 121
6325, 25, OFF, 6431, 17, OFF, 102
5547, 18, ON, 5495, 18, ON, 22
6204, 18, OFF, 6519, 18, OFF, 13
5409, 18, ON, 5468, 18, ON, 12
6307, 18, OFF, 6377, 18, OFF, 0
5483, 18, ON, 5474, 18, ON, 9
6438, 18, OFF, 6431, 18, OFF, 3
5578, 18, ON, 5665, 18, ON, 12
6362, 18, OFF, 6663, 18, OFF, 0
5254, 17, ON, 5609, 19, ON, 193
7011, 19, OFF, 6545, 19, OFF, 64
5053, 17, ON, 5628, 19, ON, 197
6900, 19, OFF, 6531, 19, OFF, 35
5138, 23, ON, 5517, 19, ON, 124
6622, 19, OFF, 6527, 19, OFF, 40
5226, 17, ON, 5664, 19, ON, 234
6983, 19, OFF, 6740, 19, OFF, 70
5128, 5, ON, 5602, 2, ON, 230
6614, 2, OFF, 6600, 2, OFF, 12
5526, 2, ON, 5416, 2, ON, 1
6572, 2, OFF, 6395, 2, OFF, 9
5287, 2, ON, 5513, 2, ON, 9
6510, 2, OFF, 6466, 2, OFF, 3
5675, 2, ON, 5490, 2, ON, 6
6655, 2, OFF, 6440, 2, OFF, 1
5672, 0, ON, 5446, 20, ON, 100
6417, 0, OFF, 6399, 20, OFF, 100
5444, 9, ON, 5517, 20, ON, 113
6435, 0, OFF, 6409, 20, OFF, 100
5584, 22, ON, 5490, 20, ON, 108
6567, 0, OFF, 6473, 20, OFF, 100
5572, 0, ON, 5417, 20, ON, 100
6372, 0, OFF, 6280, 20, OFF, 100
5596, 17, ON, 5528, 21, ON, 101
6488, 21, OFF, 6550, 21, OFF, 2
5547, 16, ON, 5404, 21, ON, 111
6248, 21, OFF, 6376, 21, OFF, 51
5445, 17, ON, 5459, 21, ON, 121
6336, 21, OFF, 6426, 21, OFF, 26
5547, 16, ON, 5433, 21, ON, 136
6569, 21, OFF, 6659, 21, OFF, 0
5532, 22, ON, 5400, 22, ON, 12
6299, 22, OFF, 6353, 22, OFF, 0
5599, 22, ON, 5401, 22, ON, 1
6163, 22, OFF, 6290, 22, OFF, 3
4992, 22, ON, 5519, 22, ON, 19
6643, 22, OFF, 6511, 22, OFF, 0
5578, 22, ON, 5445, 22, ON, 4
6459, 22, OFF, 6334, 22, OFF, 2
5275, 23, ON, 5564, 23, ON, 1
6483, 0, OFF, 6451, 23, OFF, 100
5405, 23, ON, 5453, 23, ON, 1
6313, 0, OFF, 6361, 23, OFF, 102
5733, 23, ON, 5524, 23, ON, 1
6692, 24, OFF, 6409, 23, OFF, 100
5374, 23, ON, 5546, 23, ON, 0
6954, 24, OFF, 6553, 23, OFF, 108
5529, 24, ON, 5441, 24, ON, 1
6373, 24, OFF, 6384, 24, OFF, 0
5544, 24, ON, 5631, 24, ON, 1
6499, 24, OFF, 6601, 24, OFF, 1
5540, 24, ON, 5474, 24, ON, 1
6540, 24, OFF, 6504, 24, OFF, 3
5482, 24, ON, 5552, 24, ON, 4
5981, 24, OFF, 7026, 24, OFF, 70
5580, 0, ON, 5521, 25, ON, 100
6440, 25, OFF, 6433, 25, OFF, 0
5621, 0, ON, 5479, 25, ON, 100
6594, 25, OFF, 6539, 25, OFF, 48
5060, 25, ON, 5398, 25, ON, 3
6500, 25, OFF, 6347, 25, OFF, 2
5009, 25, ON, 5479, 25, ON, 13
6256, 25, OFF, 6452, 25, OFF, 7
5468, 3, ON, 5412, 3, ON, 1
6323, 3, OFF, 6334, 3, OFF, 16
5422, 12, ON, 5536, 3, ON, 107
6537, 3, OFF, 6800, 3, OFF, 47
5388, 3, ON, 5403, 3, ON, 14
6220, 3, OFF, 6246, 3, OFF, 6
5602, 5, ON, 5625, 3, ON, 139
6641, 3, OFF, 6550, 3, OFF, 25
5410, 4, ON, 5382, 4, ON, 0
6471, 0, OFF, 6358, 4, OFF, 100
5562, 4, ON, 5475, 4, ON, 0
6607, 0, OFF, 6516, 4, OFF, 100
5557, 4, ON, 5427, 4, ON, 0
6594, 0, OFF, 6478, 4, OFF, 100
5474, 4, ON, 5489, 4, ON, 0
6758, 0, OFF, 6562, 4, OFF, 100
5727, 5, ON, 5553, 5, ON, 16
6262, 5, OFF, 6583, 5, OFF, 3
5647, 12, ON, 5422, 5, ON, 100
6266, 5, OFF, 6452, 5, OFF, 0
5720, 0, ON, 5539, 5, ON, 101
6317, 5, OFF, 6581, 5, OFF, 0
5974, 5, ON, 5658, 5, ON, 4
6314, 5, OFF, 6683, 5, OFF, 0
5920, 5, ON, 5601, 6, ON, 106
6286, 12, OFF, 6475, 6, OFF, 103
5536, 12, ON, 5529, 6, ON, 124
6335, 0, OFF, 6502, 6, OFF, 101
5508, 12, ON, 5486, 6, ON, 105
6246, 0, OFF, 6305, 6, OFF, 100
5517, 18, ON, 5508, 6, ON, 107
6586, 12, OFF, 6702, 6, OFF, 102
5534, 7, ON, 5376, 7, ON, 0
6308, 7, OFF, 6311, 7, OFF, 0
5409, 7, ON, 5484, 7, ON, 0
6397, 7, OFF, 6411, 7, OFF, 0
5663, 7, ON, 5555, 7, ON, 0
7054, 7, OFF, 6744, 7, OFF, 0
5418, 7, ON, 5452, 7, ON, 0
6439, 7, OFF, 6433, 7, OFF, 0
5705, 18, ON, 5566, 8, ON, 112
6378, 0, OFF, 6544, 8, OFF, 100
5469, 0, ON, 5498, 8, ON, 100
6280, 0, OFF, 6352, 8, OFF, 100
5882, 18, ON, 5643, 8, ON, 118
6505, 0, OFF, 6548, 8, OFF, 100
5627, 18, ON, 5557, 8, ON, 110
6373, 0, OFF, 6508, 8, OFF, 100
5278, 23, ON, 5539, 9, ON, 69
6698, 9, OFF, 6542, 9, OFF, 0
4827, 12, ON, 5453, 9, ON, 144
6244, 9, OFF, 6348, 9, OFF, 3
5907, 9, ON, 5446, 9, ON, 72
6717, 9, OFF, 6475, 9, OFF, 2
6058, 9, ON, 5654, 9, ON, 32
7084, 9, OFF, 6642, 9, OFF, 17
Accuracy: 55.77, Detection Accuracy: 81.25, Classification Accuracy: 68.27, Event Type Accuracy: 100.00
